Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM
TB1Cq1HekvoK1RjSZPfXXXPKFXa-502-380.jpg_290x10000Q75.jpg_.webp,TB1Cq1HekvoK1RjSZPfXXXPKFXa-502-380.jpg_290x10000Q75.jpg_.webp,https://gw.alicdn.com/tfs/TB1Cq1HekvoK1RjSZPfXXXPKFXa-502-380.jpg_290x10000Q75.jpg_.webp,12.33984375,0.11563264398487881,51200,0.0,12.33984375,12.33984375,1.0,100,1
TB1jq1HekvoK1RjSZPfXXXPKFXa-502-380.jpg_290x10000Q75.jpg_.webp,TB1jq1HekvoK1RjSZPfXXXPKFXa-502-380.jpg_290x10000Q75.jpg_.webp,https://gw.alicdn.com/tfs/TB1jq1HekvoK1RjSZPfXXXPKFXa-502-380.jpg_290x10000Q75.jpg_.webp,10.80078125,0.11563264398487881,51200,0.0,10.80078125,10.80078125,1.0,100,1
TB1NASFejDpK1RjSZFrXXa78VXa-502-380.jpg_290x10000Q75.jpg_.webp,TB1NASFejDpK1RjSZFrXXa78VXa-502-380.jpg_290x10000Q75.jpg_.webp,https://gw.alicdn.com/tfs/TB1NASFejDpK1RjSZFrXXa78VXa-502-380.jpg_290x10000Q75.jpg_.webp,11.1484375,0.11563264398487881,51200,0.0,11.1484375,11.1484375,1.0,100,1
TB1yeWeIFXXXXX5XFXXuAZJYXXX-210-210.png_80x80.jpg,TB1yeWeIFXXXXX5XFXXuAZJYXXX-210-210.png_80x80.jpg,https://gtms03.alicdn.com/tps/i3/TB1yeWeIFXXXXX5XFXXuAZJYXXX-210-210.png_80x80.jpg,2.955078125,0.05047809650878363,6400,24.485098611890738,2.955078125,0.9130859375,0.9166026561760162,30,1
O1CN014AxN4C1Z7pWRr4wzb_!!6000000003148-0-tps-356-141.jpg_360x10000Q75.jpg,O1CN014AxN4C1Z7pWRr4wzb_!!6000000003148-0-tps-356-141.jpg_360x10000Q75.jpg,https://gw.alicdn.com/imgextra/i1/O1CN014AxN4C1Z7pWRr4wzb_!!6000000003148-0-tps-356-141.jpg_360x10000Q75.jpg,13.994140625,0.07782966422059151,50196,0.0,13.994140625,13.994140625,1.0,100,1
O1CN01obvh6l1iRpMLSol1z_!!6000000004410-2-tps-214-68.png_110x10000.jpg_.webp,O1CN01obvh6l1iRpMLSol1z_!!6000000004410-2-tps-214-68.png_110x10000.jpg_.webp,https://gw.alicdn.com/imgextra/i1/O1CN01obvh6l1iRpMLSol1z_!!6000000004410-2-tps-214-68.png_110x10000.jpg_.webp,2.701171875,0.1694462975316878,3638,20.214450313405056,2.701171875,0.896484375,0.9107229001026441,0,1
O1CN01mJv81r1wu8SVIOwq3_!!6000000006367-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN01mJv81r1wu8SVIOwq3_!!6000000006367-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i2/6000000006367/O1CN01mJv81r1wu8SVIOwq3_!!6000000006367-0-picassoopen.jpg_220x10000Q75.jpg_.webp,8.873046875,0.1821214142761841,48400,0.0,8.873046875,8.873046875,1.0,100,1
O1CN012r8RmK1sWXakCnN9p_!!6000000005774-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN012r8RmK1sWXakCnN9p_!!6000000005774-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i3/6000000005774/O1CN012r8RmK1sWXakCnN9p_!!6000000005774-0-picassoopen.jpg_220x10000Q75.jpg_.webp,7.296875,0.1821214142761841,48400,0.0,7.296875,7.296875,1.0,100,1
O1CN01P7xod21s8iznWSgtW_!!6000000005722-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN01P7xod21s8iznWSgtW_!!6000000005722-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i2/6000000005722/O1CN01P7xod21s8iznWSgtW_!!6000000005722-0-picassoopen.jpg_220x10000Q75.jpg_.webp,10.896484375,0.1821214142761841,48400,0.0,10.896484375,10.896484375,1.0,100,1
O1CN01IgZdJn1RDJKqgF066_!!6000000002077-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN01IgZdJn1RDJKqgF066_!!6000000002077-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i4/6000000002077/O1CN01IgZdJn1RDJKqgF066_!!6000000002077-0-picassoopen.jpg_220x10000Q75.jpg_.webp,13.3671875,0.1821214142761841,48400,0.0,13.3671875,13.3671875,1.0,100,1
O1CN011Zmam2A2XpD5V7Y_!!6000000003237-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN011Zmam2A2XpD5V7Y_!!6000000003237-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i2/6000000003237/O1CN011Zmam2A2XpD5V7Y_!!6000000003237-0-picassoopen.jpg_220x10000Q75.jpg_.webp,11.603515625,0.2497220369134979,48400,0.0,11.603515625,11.603515625,1.0,100,1
O1CN01KmHqG91R49PuBy1FL_!!6000000002057-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN01KmHqG91R49PuBy1FL_!!6000000002057-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i4/6000000002057/O1CN01KmHqG91R49PuBy1FL_!!6000000002057-0-picassoopen.jpg_220x10000Q75.jpg_.webp,11.126953125,0.2497220369134979,48400,0.0,11.126953125,11.126953125,1.0,100,1
O1CN01c2E9LU1Zx7sfAyMki_!!6000000003260-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN01c2E9LU1Zx7sfAyMki_!!6000000003260-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i1/6000000003260/O1CN01c2E9LU1Zx7sfAyMki_!!6000000003260-0-picassoopen.jpg_220x10000Q75.jpg_.webp,11.115234375,0.2497220369134979,48400,0.0,11.115234375,11.115234375,1.0,100,1
O1CN01J89uXL1OhafwvtvVz_!!6000000001737-0-picassoopen.jpg_220x10000Q75.jpg_.webp,O1CN01J89uXL1OhafwvtvVz_!!6000000001737-0-picassoopen.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i4/6000000001737/O1CN01J89uXL1OhafwvtvVz_!!6000000001737-0-picassoopen.jpg_220x10000Q75.jpg_.webp,7.646484375,0.2497220369134979,48400,0.0,7.646484375,7.646484375,1.0,100,1
O1CN01DWQY2W1U1LqMYx8RJ_!!6000000002457-2-tps-214-68.png_110x10000.jpg_.webp,O1CN01DWQY2W1U1LqMYx8RJ_!!6000000002457-2-tps-214-68.png_110x10000.jpg_.webp,https://gw.alicdn.com/imgextra/i1/O1CN01DWQY2W1U1LqMYx8RJ_!!6000000002457-2-tps-214-68.png_110x10000.jpg_.webp,2.474609375,0.3213253279964421,3638,19.842347895639985,2.474609375,0.892578125,0.9202699570473903,0,1
TB1Rimq1lr0gK0jSZFnSuvRRXXa.jpg_230x10000Q75.jpg_.webp,TB1Rimq1lr0gK0jSZFnSuvRRXXa.jpg_230x10000Q75.jpg_.webp,https://gw.alicdn.com/tps/i4/TB1Rimq1lr0gK0jSZFnSuvRRXXa.jpg_230x10000Q75.jpg_.webp,6.607421875,0.3342228152101401,67044,0.0,6.607421875,6.607421875,1.0,100,1
TB1tPdRkNvbeK8jSZPfXXariXXa-468-602.jpg_230x10000Q75.jpg_.webp,TB1tPdRkNvbeK8jSZPfXXariXXa-468-602.jpg_230x10000Q75.jpg_.webp,https://gw.alicdn.com/tfs/TB1tPdRkNvbeK8jSZPfXXariXXa-468-602.jpg_230x10000Q75.jpg_.webp,7.88671875,0.40471425394707583,67044,0.0,7.88671875,7.88671875,1.0,100,1
TB1NQiE0YY1gK0jSZTEXXXDQVXa-400-400.jpg_220x10000Q75.jpg_.webp,TB1NQiE0YY1gK0jSZTEXXXDQVXa-400-400.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/tfs/TB1NQiE0YY1gK0jSZTEXXXDQVXa-400-400.jpg_220x10000Q75.jpg_.webp,3.951171875,0.3342228152101401,48400,0.0,3.951171875,3.951171875,1.0,100,1
O1CN011mwZFx1MHp9zGxMpN_!!2549841410-0-sm.jpg_220x10000Q75.jpg_.webp,O1CN011mwZFx1MHp9zGxMpN_!!2549841410-0-sm.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i1/2549841410/O1CN011mwZFx1MHp9zGxMpN_!!2549841410-0-sm.jpg_220x10000Q75.jpg_.webp,5.369140625,0.3342228152101401,48400,0.0,5.369140625,5.369140625,1.0,100,1
O1CN01mSSWCC1v45prMUvzF_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,O1CN01mSSWCC1v45prMUvzF_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i2/2201484016118/O1CN01mSSWCC1v45prMUvzF_!!0-item_pic.jpg_220x10000Q75.jpg_.webp,9.21484375,0.3342228152101401,48400,0.0,9.21484375,9.21484375,1.0,100,1
O1CN0188HfFc1o9P7eSmJSW_!!2200657715182-0-sm.jpg_220x10000Q75.jpg_.webp,O1CN0188HfFc1o9P7eSmJSW_!!2200657715182-0-sm.jpg_220x10000Q75.jpg_.webp,https://gw.alicdn.com/bao/uploaded/i2/2200657715182/O1CN0188HfFc1o9P7eSmJSW_!!2200657715182-0-sm.jpg_220x10000Q75.jpg_.webp,6.240234375,0.4044918834778741,48400,0.0,6.240234375,6.240234375,1.0,100,1
