Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM
TrelloUICollage_4x.png,TrelloUICollage_4x.png,https://images.ctfassets.net/rz1oowkt5gyp/75rDABL8fyMtNLlUAtBxrg/c5e145977a86c41c47e17c69410c64f7/TrelloUICollage_4x.png?w=540,65.455078125,0.04581110762472545,417616,0.0,65.455078125,65.455078125,1.0,100,1.0
Carousel_Image_Boards_2x.webp,Carousel_Image_Boards_2x.png,https://images.ctfassets.net/rz1oowkt5gyp/3N2U3C71rApm61cGFxnc2E/970b010002488a09a420282df5e7b43a/Carousel_Image_Boards_2x.png?w=540,82.189453125,0.14632360631733082,317856,645.7150122393043,57.912109375,5.876953125,0.919414671699292,10,0.9999763637907041
Carousel_Image_Lists_2x.webp,Carousel_Image_Lists_2x.png,https://images.ctfassets.net/rz1oowkt5gyp/4U0VUZYX2tQmB5KVGxBabp/7321ac088fe8ec39dbe3069c47d7df99/Carousel_Image_Lists_2x.png?w=540,78.533203125,0.14632360631733082,317856,605.5583448122876,50.35546875,3.861328125,0.9232210388589189,0,0.9999590224941304
Carousel_Image_Cards_2x.webp,Carousel_Image_Cards_2x.png,https://images.ctfassets.net/rz1oowkt5gyp/26CA6JZeRgoOK4nuRHnIlY/060702a80cf7c3be3651d9297d196267/Carousel_Image_Cards_2x.png?w=540,80.205078125,0.14632360631733082,317856,632.0863657217177,50.97265625,3.474609375,0.9248551314332392,0,0.9999590224941304
TrelloBoard_Timeline_2x.webp,TrelloBoard_Timeline_2x.png,https://images.ctfassets.net/rz1oowkt5gyp/5Hb09iiMrK6mSpThW5HS89/f5683a167ad3f74bed4dc7592ae5a002/TrelloBoard_Timeline_2x.png?w=540,30.015625,0.33615730572115887,198768,194.71140499730518,22.205078125,3.931640625,0.906151170239602,10,0.9999938855756925
TrelloBoard_Calendar_2x.webp,TrelloBoard_Calendar_2x.png,https://images.ctfassets.net/rz1oowkt5gyp/7sxChS4x6XAcUgDpp4VAZk/25377d162e964f4243e329c447bfd7dc/TrelloBoard_Calendar_2x.png?w=540,30.7333984375,0.4083254889655894,198768,220.4261904327339,23.279296875,3.9453125,0.9122881707611781,10,0.999997629069826
