Final Name,Image Name,Image Source,Original Size (KB),Location,Area,ByteSSIM,Final Size (KB),Worst Size (KB),Worst SSIM,Worst Resolution,SSIM,Weighted Sum,Resolution Percentage
reduced_Carousel_Image_Boards_2x.webp,Carousel_Image_Boards_2x.png,https://images.ctfassets.net/rz1oowkt5gyp/3N2U3C71rApm61cGFxnc2E/970b010002488a09a420282df5e7b43a/Carousel_Image_Boards_2x.png?w=540,82.189453125,0.3130807719799854,0.7611202635914333,0.9788937127691624,5.876953125,5.876953125,0.919414671699292,10,0.919414671699292,1.7400139763605955,10.0
reduced_Carousel_Image_Cards_2x.webp,Carousel_Image_Cards_2x.png,https://images.ctfassets.net/rz1oowkt5gyp/26CA6JZeRgoOK4nuRHnIlY/060702a80cf7c3be3651d9297d196267/Carousel_Image_Cards_2x.png?w=540,80.205078125,0.3130807719799854,0.7611202635914333,1.0,3.474609375,3.474609375,0.9248551314332392,0,0.9248551314332392,1.7611202635914331,5.0
reduced_Carousel_Image_Lists_2x.webp,Carousel_Image_Lists_2x.png,https://images.ctfassets.net/rz1oowkt5gyp/4U0VUZYX2tQmB5KVGxBabp/7321ac088fe8ec39dbe3069c47d7df99/Carousel_Image_Lists_2x.png?w=540,78.533203125,0.3130807719799854,0.7611202635914333,1.043807539168919,3.861328125,3.861328125,0.9232210388589188,0,0.9232210388589189,1.804927802760352,5.0
reduced_TrelloUICollage_4x.png,TrelloUICollage_4x.png,https://images.ctfassets.net/rz1oowkt5gyp/75rDABL8fyMtNLlUAtBxrg/c5e145977a86c41c47e17c69410c64f7/TrelloUICollage_4x.png?w=540,65.455078125,1.0,1.0,1.0,175.6650390625,65.455078125,1.0,100,1.0,2.0,5.0
reduced_TrelloBoard_Calendar_2x.webp,TrelloBoard_Calendar_2x.png,https://images.ctfassets.net/rz1oowkt5gyp/7sxChS4x6XAcUgDpp4VAZk/25377d162e964f4243e329c447bfd7dc/TrelloBoard_Calendar_2x.png?w=540,30.7333984375,0.1121926229508195,0.4759587755258419,2.8675647139789757,3.9453125,3.9453125,0.912288170761178,10,0.9122881707611781,3.3435234895048174,10.0
reduced_TrelloBoard_Timeline_2x.webp,TrelloBoard_Timeline_2x.png,https://images.ctfassets.net/rz1oowkt5gyp/5Hb09iiMrK6mSpThW5HS89/f5683a167ad3f74bed4dc7592ae5a002/TrelloBoard_Timeline_2x.png?w=540,30.015625,0.1362787803360297,0.4759587755258419,3.246272942925278,3.931640625,3.931640625,0.906151170239602,10,0.906151170239602,3.72223171845112,10.0
